Disease,Medications,Age Group,Dosage
Chronic cholestasis,"Ursodeoxycholic acid, Cholestyramine, Methotrexate, Corticosteroids, Liver transplant",18–30,Ursodeoxycholic Acid: Standard adult dose; Cholestyramine: Standard adult dose; Methotrexate: Standard adult dose; Corticosteroids: Standard adult dose; Liver Transplant: Standard adult dose
Chronic cholestasis,"Ursodeoxycholic acid, Cholestyramine, Methotrexate, Corticosteroids, Liver transplant",31–40,"Ursodeoxycholic Acid: Standard dose, check tolerability; Cholestyramine: Standard dose, check tolerability; Methotrexate: Standard dose, check tolerability; Corticosteroids: Standard dose, check tolerability; Liver Transplant: Standard dose, check tolerability"
Chronic cholestasis,"Ursodeoxycholic acid, Cholestyramine, Methotrexate, Corticosteroids, Liver transplant",41–50,"Ursodeoxycholic Acid: Standard dose, monitor early effects; Cholestyramine: Standard dose, monitor early effects; Methotrexate: Standard dose, monitor early effects; Corticosteroids: Standard dose, monitor early effects; Liver Transplant: Standard dose, monitor early effects"
Chronic cholestasis,"Ursodeoxycholic acid, Cholestyramine, Methotrexate, Corticosteroids, Liver transplant",51–60,Ursodeoxycholic Acid: Minimum effective dose; Cholestyramine: Minimum effective dose; Methotrexate: Minimum effective dose; Corticosteroids: Minimum effective dose; Liver Transplant: Minimum effective dose
Chronic cholestasis,"Ursodeoxycholic acid, Cholestyramine, Methotrexate, Corticosteroids, Liver transplant",61–70,Ursodeoxycholic Acid: Reduced dose or enhanced monitoring; Cholestyramine: Reduced dose or enhanced monitoring; Methotrexate: Reduced dose or enhanced monitoring; Corticosteroids: Reduced dose or enhanced monitoring; Liver Transplant: Reduced dose or enhanced monitoring
Drug Reaction,"Antihistamines, Epinephrine, Corticosteroids, Antibiotics, Antifungal Cream",18–30,Antihistamines: Standard adult dose; Epinephrine: Standard adult dose; Corticosteroids: Standard adult dose; Antibiotics: Standard adult dose; Antifungal Cream: Standard adult dose
Drug Reaction,"Antihistamines, Epinephrine, Corticosteroids, Antibiotics, Antifungal Cream",31–40,"Antihistamines: Standard dose, check tolerability; Epinephrine: Standard dose, check tolerability; Corticosteroids: Standard dose, check tolerability; Antibiotics: Standard dose, check tolerability; Antifungal Cream: Standard dose, check tolerability"
Drug Reaction,"Antihistamines, Epinephrine, Corticosteroids, Antibiotics, Antifungal Cream",41–50,"Antihistamines: Standard dose, monitor early effects; Epinephrine: Standard dose, monitor early effects; Corticosteroids: Standard dose, monitor early effects; Antibiotics: Standard dose, monitor early effects; Antifungal Cream: Standard dose, monitor early effects"
Drug Reaction,"Antihistamines, Epinephrine, Corticosteroids, Antibiotics, Antifungal Cream",51–60,Antihistamines: Minimum effective dose; Epinephrine: Minimum effective dose; Corticosteroids: Minimum effective dose; Antibiotics: Minimum effective dose; Antifungal Cream: Minimum effective dose
Drug Reaction,"Antihistamines, Epinephrine, Corticosteroids, Antibiotics, Antifungal Cream",61–70,Antihistamines: Reduced dose or enhanced monitoring; Epinephrine: Reduced dose or enhanced monitoring; Corticosteroids: Reduced dose or enhanced monitoring; Antibiotics: Reduced dose or enhanced monitoring; Antifungal Cream: Reduced dose or enhanced monitoring
Peptic ulcer disease,"Antibiotics, Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Cytoprotective agents",18–30,Antibiotics: Standard adult dose; Proton Pump Inhibitors (Ppis): 20 mg daily before meals; H2 Blockers: Standard adult dose; Antacids: Standard adult dose; Cytoprotective Agents: Standard adult dose
Peptic ulcer disease,"Antibiotics, Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Cytoprotective agents",31–40,"Antibiotics: Standard dose, check tolerability; Proton Pump Inhibitors (Ppis): 20 mg once daily; H2 Blockers: Standard dose, check tolerability; Antacids: Standard dose, check tolerability; Cytoprotective Agents: Standard dose, check tolerability"
Peptic ulcer disease,"Antibiotics, Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Cytoprotective agents",41–50,"Antibiotics: Standard dose, monitor early effects; Proton Pump Inhibitors (Ppis): 20–40 mg/day; H2 Blockers: Standard dose, monitor early effects; Antacids: Standard dose, monitor early effects; Cytoprotective Agents: Standard dose, monitor early effects"
Peptic ulcer disease,"Antibiotics, Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Cytoprotective agents",51–60,"Antibiotics: Minimum effective dose; Proton Pump Inhibitors (Ppis): 20 mg/day, avoid long-term use; H2 Blockers: Minimum effective dose; Antacids: Minimum effective dose; Cytoprotective Agents: Minimum effective dose"
Peptic ulcer disease,"Antibiotics, Proton Pump Inhibitors (PPIs), H2 Blockers, Antacids, Cytoprotective agents",61–70,Antibiotics: Reduced dose or enhanced monitoring; Proton Pump Inhibitors (Ppis): 20 mg/day with calcium/vitamin D supplements; H2 Blockers: Reduced dose or enhanced monitoring; Antacids: Reduced dose or enhanced monitoring; Cytoprotective Agents: Reduced dose or enhanced monitoring
AIDS,"Antiretroviral drugs, Protease inhibitors, Integrase inhibitors, Entry inhibitors, Fusion inhibitors",18–30,Antiretroviral Drugs: Standard adult dose; Protease Inhibitors: Standard adult dose; Integrase Inhibitors: Standard adult dose; Entry Inhibitors: Standard adult dose; Fusion Inhibitors: Standard adult dose
AIDS,"Antiretroviral drugs, Protease inhibitors, Integrase inhibitors, Entry inhibitors, Fusion inhibitors",31–40,"Antiretroviral Drugs: Standard dose, check tolerability; Protease Inhibitors: Standard dose, check tolerability; Integrase Inhibitors: Standard dose, check tolerability; Entry Inhibitors: Standard dose, check tolerability; Fusion Inhibitors: Standard dose, check tolerability"
AIDS,"Antiretroviral drugs, Protease inhibitors, Integrase inhibitors, Entry inhibitors, Fusion inhibitors",41–50,"Antiretroviral Drugs: Standard dose, monitor early effects; Protease Inhibitors: Standard dose, monitor early effects; Integrase Inhibitors: Standard dose, monitor early effects; Entry Inhibitors: Standard dose, monitor early effects; Fusion Inhibitors: Standard dose, monitor early effects"
AIDS,"Antiretroviral drugs, Protease inhibitors, Integrase inhibitors, Entry inhibitors, Fusion inhibitors",51–60,Antiretroviral Drugs: Minimum effective dose; Protease Inhibitors: Minimum effective dose; Integrase Inhibitors: Minimum effective dose; Entry Inhibitors: Minimum effective dose; Fusion Inhibitors: Minimum effective dose
AIDS,"Antiretroviral drugs, Protease inhibitors, Integrase inhibitors, Entry inhibitors, Fusion inhibitors",61–70,Antiretroviral Drugs: Reduced dose or enhanced monitoring; Protease Inhibitors: Reduced dose or enhanced monitoring; Integrase Inhibitors: Reduced dose or enhanced monitoring; Entry Inhibitors: Reduced dose or enhanced monitoring; Fusion Inhibitors: Reduced dose or enhanced monitoring
Diabetes,"Insulin, Metformin, Sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists",18–30,Insulin: 10–20 units before meals; Metformin: 500 mg twice daily; Sulfonylureas: Standard adult dose; Dpp-4 Inhibitors: Standard adult dose; Glp-1 Receptor Agonists: Standard adult dose
Diabetes,"Insulin, Metformin, Sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists",31–40,"Insulin: 15–25 units/day; Metformin: 500–850 mg twice daily; Sulfonylureas: Standard dose, check tolerability; Dpp-4 Inhibitors: Standard dose, check tolerability; Glp-1 Receptor Agonists: Standard dose, check tolerability"
Diabetes,"Insulin, Metformin, Sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists",41–50,"Insulin: 20–30 units/day; Metformin: 850 mg twice daily; Sulfonylureas: Standard dose, monitor early effects; Dpp-4 Inhibitors: Standard dose, monitor early effects; Glp-1 Receptor Agonists: Standard dose, monitor early effects"
Diabetes,"Insulin, Metformin, Sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists",51–60,"Insulin: adjust per glucose, 15–30 units/day; Metformin: 500 mg twice daily with renal check; Sulfonylureas: Minimum effective dose; Dpp-4 Inhibitors: Minimum effective dose; Glp-1 Receptor Agonists: Minimum effective dose"
Diabetes,"Insulin, Metformin, Sulfonylureas, DPP-4 inhibitors, GLP-1 receptor agonists",61–70,"Insulin: start low (10–20 units/day), frequent monitoring; Metformin: 500 mg once or twice daily, monitor kidney function; Sulfonylureas: Reduced dose or enhanced monitoring; Dpp-4 Inhibitors: Reduced dose or enhanced monitoring; Glp-1 Receptor Agonists: Reduced dose or enhanced monitoring"
Gastroenteritis,"Antibiotics, Antiemetic drugs, Antidiarrheal drugs, IV fluids, Probiotics",18–30,Antibiotics: Standard adult dose; Antiemetic Drugs: Standard adult dose; Antidiarrheal Drugs: Standard adult dose; Iv Fluids: Standard adult dose; Probiotics: Standard adult dose
Gastroenteritis,"Antibiotics, Antiemetic drugs, Antidiarrheal drugs, IV fluids, Probiotics",31–40,"Antibiotics: Standard dose, check tolerability; Antiemetic Drugs: Standard dose, check tolerability; Antidiarrheal Drugs: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Probiotics: Standard dose, check tolerability"
Gastroenteritis,"Antibiotics, Antiemetic drugs, Antidiarrheal drugs, IV fluids, Probiotics",41–50,"Antibiotics: Standard dose, monitor early effects; Antiemetic Drugs: Standard dose, monitor early effects; Antidiarrheal Drugs: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Probiotics: Standard dose, monitor early effects"
Gastroenteritis,"Antibiotics, Antiemetic drugs, Antidiarrheal drugs, IV fluids, Probiotics",51–60,Antibiotics: Minimum effective dose; Antiemetic Drugs: Minimum effective dose; Antidiarrheal Drugs: Minimum effective dose; Iv Fluids: Minimum effective dose; Probiotics: Minimum effective dose
Gastroenteritis,"Antibiotics, Antiemetic drugs, Antidiarrheal drugs, IV fluids, Probiotics",61–70,Antibiotics: Reduced dose or enhanced monitoring; Antiemetic Drugs: Reduced dose or enhanced monitoring; Antidiarrheal Drugs: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Probiotics: Reduced dose or enhanced monitoring
Bronchial Asthma,"Bronchodilators, Inhaled corticosteroids, Leukotriene modifiers, Mast cell stabilizers, Anticholinergics",18–30,Bronchodilators: Standard adult dose; Inhaled Corticosteroids: Standard adult dose; Leukotriene Modifiers: Standard adult dose; Mast Cell Stabilizers: Standard adult dose; Anticholinergics: Standard adult dose
Bronchial Asthma,"Bronchodilators, Inhaled corticosteroids, Leukotriene modifiers, Mast cell stabilizers, Anticholinergics",31–40,"Bronchodilators: Standard dose, check tolerability; Inhaled Corticosteroids: Standard dose, check tolerability; Leukotriene Modifiers: Standard dose, check tolerability; Mast Cell Stabilizers: Standard dose, check tolerability; Anticholinergics: Standard dose, check tolerability"
Bronchial Asthma,"Bronchodilators, Inhaled corticosteroids, Leukotriene modifiers, Mast cell stabilizers, Anticholinergics",41–50,"Bronchodilators: Standard dose, monitor early effects; Inhaled Corticosteroids: Standard dose, monitor early effects; Leukotriene Modifiers: Standard dose, monitor early effects; Mast Cell Stabilizers: Standard dose, monitor early effects; Anticholinergics: Standard dose, monitor early effects"
Bronchial Asthma,"Bronchodilators, Inhaled corticosteroids, Leukotriene modifiers, Mast cell stabilizers, Anticholinergics",51–60,Bronchodilators: Minimum effective dose; Inhaled Corticosteroids: Minimum effective dose; Leukotriene Modifiers: Minimum effective dose; Mast Cell Stabilizers: Minimum effective dose; Anticholinergics: Minimum effective dose
Bronchial Asthma,"Bronchodilators, Inhaled corticosteroids, Leukotriene modifiers, Mast cell stabilizers, Anticholinergics",61–70,Bronchodilators: Reduced dose or enhanced monitoring; Inhaled Corticosteroids: Reduced dose or enhanced monitoring; Leukotriene Modifiers: Reduced dose or enhanced monitoring; Mast Cell Stabilizers: Reduced dose or enhanced monitoring; Anticholinergics: Reduced dose or enhanced monitoring
Hypertension,"Antihypertensive medications, Diuretics, Beta-blockers, ACE inhibitors, Calcium channel blockers",18–30,Antihypertensive Medications: Standard adult dose; Diuretics: Standard adult dose; Beta-Blockers: Standard adult dose; Ace Inhibitors: Standard adult dose; Calcium Channel Blockers: Standard adult dose
Hypertension,"Antihypertensive medications, Diuretics, Beta-blockers, ACE inhibitors, Calcium channel blockers",31–40,"Antihypertensive Medications: Standard dose, check tolerability; Diuretics: Standard dose, check tolerability; Beta-Blockers: Standard dose, check tolerability; Ace Inhibitors: Standard dose, check tolerability; Calcium Channel Blockers: Standard dose, check tolerability"
Hypertension,"Antihypertensive medications, Diuretics, Beta-blockers, ACE inhibitors, Calcium channel blockers",41–50,"Antihypertensive Medications: Standard dose, monitor early effects; Diuretics: Standard dose, monitor early effects; Beta-Blockers: Standard dose, monitor early effects; Ace Inhibitors: Standard dose, monitor early effects; Calcium Channel Blockers: Standard dose, monitor early effects"
Hypertension,"Antihypertensive medications, Diuretics, Beta-blockers, ACE inhibitors, Calcium channel blockers",51–60,Antihypertensive Medications: Minimum effective dose; Diuretics: Minimum effective dose; Beta-Blockers: Minimum effective dose; Ace Inhibitors: Minimum effective dose; Calcium Channel Blockers: Minimum effective dose
Hypertension,"Antihypertensive medications, Diuretics, Beta-blockers, ACE inhibitors, Calcium channel blockers",61–70,Antihypertensive Medications: Reduced dose or enhanced monitoring; Diuretics: Reduced dose or enhanced monitoring; Beta-Blockers: Reduced dose or enhanced monitoring; Ace Inhibitors: Reduced dose or enhanced monitoring; Calcium Channel Blockers: Reduced dose or enhanced monitoring
Migraine,"Analgesics, Triptans, Ergotamine derivatives, Preventive medications, Biofeedback",18–30,Analgesics: Standard adult dose; Triptans: Standard adult dose; Ergotamine Derivatives: Standard adult dose; Preventive Medications: Standard adult dose; Biofeedback: Standard adult dose
Migraine,"Analgesics, Triptans, Ergotamine derivatives, Preventive medications, Biofeedback",31–40,"Analgesics: Standard dose, check tolerability; Triptans: Standard dose, check tolerability; Ergotamine Derivatives: Standard dose, check tolerability; Preventive Medications: Standard dose, check tolerability; Biofeedback: Standard dose, check tolerability"
Migraine,"Analgesics, Triptans, Ergotamine derivatives, Preventive medications, Biofeedback",41–50,"Analgesics: Standard dose, monitor early effects; Triptans: Standard dose, monitor early effects; Ergotamine Derivatives: Standard dose, monitor early effects; Preventive Medications: Standard dose, monitor early effects; Biofeedback: Standard dose, monitor early effects"
Migraine,"Analgesics, Triptans, Ergotamine derivatives, Preventive medications, Biofeedback",51–60,Analgesics: Minimum effective dose; Triptans: Minimum effective dose; Ergotamine Derivatives: Minimum effective dose; Preventive Medications: Minimum effective dose; Biofeedback: Minimum effective dose
Migraine,"Analgesics, Triptans, Ergotamine derivatives, Preventive medications, Biofeedback",61–70,Analgesics: Reduced dose or enhanced monitoring; Triptans: Reduced dose or enhanced monitoring; Ergotamine Derivatives: Reduced dose or enhanced monitoring; Preventive Medications: Reduced dose or enhanced monitoring; Biofeedback: Reduced dose or enhanced monitoring
Cervical spondylosis,"Pain relievers, Muscle relaxants, Physical therapy, Neck braces, Corticosteroids",18–30,Pain Relievers: Standard adult dose; Muscle Relaxants: Standard adult dose; Physical Therapy: Standard adult dose; Neck Braces: Standard adult dose; Corticosteroids: Standard adult dose
Cervical spondylosis,"Pain relievers, Muscle relaxants, Physical therapy, Neck braces, Corticosteroids",31–40,"Pain Relievers: Standard dose, check tolerability; Muscle Relaxants: Standard dose, check tolerability; Physical Therapy: Standard dose, check tolerability; Neck Braces: Standard dose, check tolerability; Corticosteroids: Standard dose, check tolerability"
Cervical spondylosis,"Pain relievers, Muscle relaxants, Physical therapy, Neck braces, Corticosteroids",41–50,"Pain Relievers: Standard dose, monitor early effects; Muscle Relaxants: Standard dose, monitor early effects; Physical Therapy: Standard dose, monitor early effects; Neck Braces: Standard dose, monitor early effects; Corticosteroids: Standard dose, monitor early effects"
Cervical spondylosis,"Pain relievers, Muscle relaxants, Physical therapy, Neck braces, Corticosteroids",51–60,Pain Relievers: Minimum effective dose; Muscle Relaxants: Minimum effective dose; Physical Therapy: Minimum effective dose; Neck Braces: Minimum effective dose; Corticosteroids: Minimum effective dose
Cervical spondylosis,"Pain relievers, Muscle relaxants, Physical therapy, Neck braces, Corticosteroids",61–70,Pain Relievers: Reduced dose or enhanced monitoring; Muscle Relaxants: Reduced dose or enhanced monitoring; Physical Therapy: Reduced dose or enhanced monitoring; Neck Braces: Reduced dose or enhanced monitoring; Corticosteroids: Reduced dose or enhanced monitoring
Paralysis (brain hemorrhage),"Blood thinners, Clot-dissolving medications, Anticonvulsants, Physical therapy, Occupational therapy",18–30,Blood Thinners: Standard adult dose; Clot-Dissolving Medications: Standard adult dose; Anticonvulsants: Standard adult dose; Physical Therapy: Standard adult dose; Occupational Therapy: Standard adult dose
Paralysis (brain hemorrhage),"Blood thinners, Clot-dissolving medications, Anticonvulsants, Physical therapy, Occupational therapy",31–40,"Blood Thinners: Standard dose, check tolerability; Clot-Dissolving Medications: Standard dose, check tolerability; Anticonvulsants: Standard dose, check tolerability; Physical Therapy: Standard dose, check tolerability; Occupational Therapy: Standard dose, check tolerability"
Paralysis (brain hemorrhage),"Blood thinners, Clot-dissolving medications, Anticonvulsants, Physical therapy, Occupational therapy",41–50,"Blood Thinners: Standard dose, monitor early effects; Clot-Dissolving Medications: Standard dose, monitor early effects; Anticonvulsants: Standard dose, monitor early effects; Physical Therapy: Standard dose, monitor early effects; Occupational Therapy: Standard dose, monitor early effects"
Paralysis (brain hemorrhage),"Blood thinners, Clot-dissolving medications, Anticonvulsants, Physical therapy, Occupational therapy",51–60,Blood Thinners: Minimum effective dose; Clot-Dissolving Medications: Minimum effective dose; Anticonvulsants: Minimum effective dose; Physical Therapy: Minimum effective dose; Occupational Therapy: Minimum effective dose
Paralysis (brain hemorrhage),"Blood thinners, Clot-dissolving medications, Anticonvulsants, Physical therapy, Occupational therapy",61–70,Blood Thinners: Reduced dose or enhanced monitoring; Clot-Dissolving Medications: Reduced dose or enhanced monitoring; Anticonvulsants: Reduced dose or enhanced monitoring; Physical Therapy: Reduced dose or enhanced monitoring; Occupational Therapy: Reduced dose or enhanced monitoring
Jaundice,"IV fluids, Blood transfusions, Liver transplant, Medications for itching, Antiviral medications",18–30,Iv Fluids: Standard adult dose; Blood Transfusions: Standard adult dose; Liver Transplant: Standard adult dose; Medications For Itching: Standard adult dose; Antiviral Medications: Standard adult dose
Jaundice,"IV fluids, Blood transfusions, Liver transplant, Medications for itching, Antiviral medications",31–40,"Iv Fluids: Standard dose, check tolerability; Blood Transfusions: Standard dose, check tolerability; Liver Transplant: Standard dose, check tolerability; Medications For Itching: Standard dose, check tolerability; Antiviral Medications: Standard dose, check tolerability"
Jaundice,"IV fluids, Blood transfusions, Liver transplant, Medications for itching, Antiviral medications",41–50,"Iv Fluids: Standard dose, monitor early effects; Blood Transfusions: Standard dose, monitor early effects; Liver Transplant: Standard dose, monitor early effects; Medications For Itching: Standard dose, monitor early effects; Antiviral Medications: Standard dose, monitor early effects"
Jaundice,"IV fluids, Blood transfusions, Liver transplant, Medications for itching, Antiviral medications",51–60,Iv Fluids: Minimum effective dose; Blood Transfusions: Minimum effective dose; Liver Transplant: Minimum effective dose; Medications For Itching: Minimum effective dose; Antiviral Medications: Minimum effective dose
Jaundice,"IV fluids, Blood transfusions, Liver transplant, Medications for itching, Antiviral medications",61–70,Iv Fluids: Reduced dose or enhanced monitoring; Blood Transfusions: Reduced dose or enhanced monitoring; Liver Transplant: Reduced dose or enhanced monitoring; Medications For Itching: Reduced dose or enhanced monitoring; Antiviral Medications: Reduced dose or enhanced monitoring
Malaria,"Antimalarial drugs, Antipyretics, Antiemetic drugs, IV fluids, Blood transfusions",18–30,Antimalarial Drugs: Standard adult dose; Antipyretics: Standard adult dose; Antiemetic Drugs: Standard adult dose; Iv Fluids: Standard adult dose; Blood Transfusions: Standard adult dose
Malaria,"Antimalarial drugs, Antipyretics, Antiemetic drugs, IV fluids, Blood transfusions",31–40,"Antimalarial Drugs: Standard dose, check tolerability; Antipyretics: Standard dose, check tolerability; Antiemetic Drugs: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Blood Transfusions: Standard dose, check tolerability"
Malaria,"Antimalarial drugs, Antipyretics, Antiemetic drugs, IV fluids, Blood transfusions",41–50,"Antimalarial Drugs: Standard dose, monitor early effects; Antipyretics: Standard dose, monitor early effects; Antiemetic Drugs: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Blood Transfusions: Standard dose, monitor early effects"
Malaria,"Antimalarial drugs, Antipyretics, Antiemetic drugs, IV fluids, Blood transfusions",51–60,Antimalarial Drugs: Minimum effective dose; Antipyretics: Minimum effective dose; Antiemetic Drugs: Minimum effective dose; Iv Fluids: Minimum effective dose; Blood Transfusions: Minimum effective dose
Malaria,"Antimalarial drugs, Antipyretics, Antiemetic drugs, IV fluids, Blood transfusions",61–70,Antimalarial Drugs: Reduced dose or enhanced monitoring; Antipyretics: Reduced dose or enhanced monitoring; Antiemetic Drugs: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Blood Transfusions: Reduced dose or enhanced monitoring
Chicken pox,"Antiviral drugs, Pain relievers, IV fluids, Blood transfusions, Platelet transfusions",18–30,Antiviral Drugs: Standard adult dose; Pain Relievers: Standard adult dose; Iv Fluids: Standard adult dose; Blood Transfusions: Standard adult dose; Platelet Transfusions: Standard adult dose
Chicken pox,"Antiviral drugs, Pain relievers, IV fluids, Blood transfusions, Platelet transfusions",31–40,"Antiviral Drugs: Standard dose, check tolerability; Pain Relievers: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Blood Transfusions: Standard dose, check tolerability; Platelet Transfusions: Standard dose, check tolerability"
Chicken pox,"Antiviral drugs, Pain relievers, IV fluids, Blood transfusions, Platelet transfusions",41–50,"Antiviral Drugs: Standard dose, monitor early effects; Pain Relievers: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Blood Transfusions: Standard dose, monitor early effects; Platelet Transfusions: Standard dose, monitor early effects"
Chicken pox,"Antiviral drugs, Pain relievers, IV fluids, Blood transfusions, Platelet transfusions",51–60,Antiviral Drugs: Minimum effective dose; Pain Relievers: Minimum effective dose; Iv Fluids: Minimum effective dose; Blood Transfusions: Minimum effective dose; Platelet Transfusions: Minimum effective dose
Chicken pox,"Antiviral drugs, Pain relievers, IV fluids, Blood transfusions, Platelet transfusions",61–70,Antiviral Drugs: Reduced dose or enhanced monitoring; Pain Relievers: Reduced dose or enhanced monitoring; Iv Fluids: Reduced dose or enhanced monitoring; Blood Transfusions: Reduced dose or enhanced monitoring; Platelet Transfusions: Reduced dose or enhanced monitoring
Dengue,"Antibiotics, Antipyretics, Analgesics, IV fluids, Corticosteroids",18–30,Antibiotics: Standard adult dose; Antipyretics: Standard adult dose; Analgesics: Standard adult dose; Iv Fluids: Standard adult dose; Corticosteroids: Standard adult dose
Dengue,"Antibiotics, Antipyretics, Analgesics, IV fluids, Corticosteroids",31–40,"Antibiotics: Standard dose, check tolerability; Antipyretics: Standard dose, check tolerability; Analgesics: Standard dose, check tolerability; Iv Fluids: Standard dose, check tolerability; Corticosteroids: Standard dose, check tolerability"
Dengue,"Antibiotics, Antipyretics, Analgesics, IV fluids, Corticosteroids",41–50,"Antibiotics: Standard dose, monitor early effects; Antipyretics: Standard dose, monitor early effects; Analgesics: Standard dose, monitor early effects; Iv Fluids: Standard dose, monitor early effects; Corticosteroids: Standard dose, monitor early effects"
